1,22 KYMCO IFLOW,BUDGET ELECTRIC 2W,2
2,22 KYMCO LIKE 200,PREMIUM SCOOTER,2
3,22 KYMCO NOT IN LIST,PREMIUM BIKE,2
4,22 KYMCO X TOWN,PREMIUM SCOOTER,2
5,AMPERE NOT IN LIST,PREMIUM BIKE,2
6,AMPERE REO,BUDGET ELECTRIC 2W,2
7,AMPERE V48,BUDGET ELECTRIC 2W,2
8,APRILIA CAPONORD 1200,PREMIUM BIKE,2
9,APRILIA DORSUDORO,PREMIUM BIKE,2
10,APRILIA DORSUDORO 900,PREMIUM BIKE,2
11,APRILIA MANA,PREMIUM BIKE,2
12,APRILIA NOT IN LIST,PREMIUM BIKE,2
13,APRILIA RS125,BUDGET SCOOTER,2
14,APRILIA RSV4,PREMIUM BIKE,2
15,APRILIA RX125,PREMIUM BIKE,2
16,APRILIA SHIVER 900,PREMIUM BIKE,2
17,APRILIA SR 125,BUDGET SCOOTER,2
18,APRILIA SR 150,BUDGET SCOOTER,2
19,APRILIA SR 150 RACE,BUDGET SCOOTER,2
20,APRILIA SRV 850,PREMIUM BIKE,2
21,APRILIA SRX 160,PREMIUM BIKE,2
22,APRILIA STORM 125,PREMIUM BIKE,2
23,APRILIA TUONO,PREMIUM BIKE,2
24,ATHER 450X,PREMIUM ELECTRIC 2W,2
25,ATHER NOT IN LIST,PREMIUM ELECTRIC 2W,2
26,ATHER S340,PREMIUM ELECTRIC 2W,2
27,ATHER S450,PREMIUM ELECTRIC 2W,2
28,AVAN NOT IN LIST,PREMIUM BIKE,2
29,AVAN XERO+,BUDGET SCOOTER,2
30,AVANTURAA CHOPPERS NOT IN LIST,PREMIUM BIKE,2
31,AVANTURAA CHOPPERS PRAVEGA,PREMIUM BIKE,2
32,AVON E BIKE,BUDGET ELECTRIC 2W,2
33,AVON E LITE,BUDGET ELECTRIC 2W,2
34,AVON E MATE,BUDGET ELECTRIC 2W,2
35,AVON E PLUS,BUDGET ELECTRIC 2W,2
36,AVON E STAR,BUDGET ELECTRIC 2W,2
37,AVON NOT IN LIST,BUDGET ELECTRIC 2W,2
38,BAJAJ AVENGER 220,PREMIUM BIKE,2
