1001,A2Z ASSIST,8333919515,vvsrikar91@gmail.com,"10th floor, RMZ Latitude Commercial Building, Bellary Rd, Amruthnagar, Hebbal, Bengaluru, Karnataka 560024",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,A2Z assist,13.0500131,77.575169
1002,Bharath Towing Services,9945400667,vvsrikar91@gmail.com,"272, Buvaneshwari Nagar Main Rd, Seethappa Layout, Chamundi Nagar, Hebbal, Bengaluru, Karnataka 560032",Bangalore,Karnataka,560024,India,20-07-2023,0,1,abc,f,100,xyz,13.032497,77.6023759
1003,Gunal Towing Service,9986006070,vvsrikar91@gmail.com,"No.69, Shop No.10, P & T Complex Cholanagar, Post Bangalore, RT Nagar, Bengaluru, Karnataka 560032",Bangalore,Karnataka,560024,India,20-07-2023,2,1,abc,f,100,xyz,13.034453,77.593122
1004,Towing Cars,9945567776,vvsrikar91@gmail.com,"Basaveshwar Store, Ramanna Building, B. Narayana Pura Dooravani Nagar, Whitefield, Bengaluru, Karnataka 560016",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,12.9925237,77.6808128
1005,SVS Towing service,9901695230,vvsrikar91@gmail.com,"#16/1 1st main 1st cross narayanappa building vidhanasoudha, Bengaluru, Karnataka 560058",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,13.0141352,77.5226506
1006,Maruthi Towing service,9535508055,vvsrikar91@gmail.com,"Bandepalya, Garvebhavi Palya, Bengaluru, Karnataka 560068",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,12.9000702,77.633432
1007,Bengaluru Car Towing Service,8885147888,vvsrikar91@gmail.com,"No.202, Venkatadrinilaya, Munnekolala Lake Trail, Marathahalli, Bengaluru, Karnataka 560048",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,12.956924,77.701127
1008,madhu towing services,9964355566,vvsrikar91@gmail.com,"74/1 3rd cross lakshmi narayana layout munnekollal, Marathahalli, Bengaluru, Karnataka 560037",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,12.9538391,77.704318
1009,Toweazy,9964355566,vvsrikar91@gmail.com,"6th Main Rd, Lakshmi Sagar Layout, Garudachar Palya, Mahadevapura, Bengaluru, Karnataka 560048",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,12.993182,77.69502
1010,J K Towing Services,9845117490,vvsrikar91@gmail.com,"16, 15th Cross Rd, Gopalappa Layout, Lakkasandra, Lakkasandra Extension, Wilson Garden, Bengaluru, Karnataka 560030",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,12.9428634,77.599868
1011,N.J. Towing Service,9945409876,vvsrikar91@gmail.com,"No.324/16, Durwesh Manzil,Queens Road, Cross, Shivaji Nagar, Bengaluru, Karnataka 560052",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,12.9845957,77.5972831
1012,Bhargav Towing Service,8971888689,vvsrikar91@gmail.com,"No.90, 7th Main Rd, Whitefield, B Narayanapura, Mahadevapura, Bengaluru, Karnataka 560016",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,12.9950592,77.6865732
1013,RJP Towing Services,9964355566,vvsrikar91@gmail.com,"#57, 3rd Cross Rd, APMC Yard, Yesvantpur Industrial Suburb, Yeswanthpur, Bengaluru, Karnataka 560022",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,13.0172699,77.5431645
1014,Towing Service & Clutch Breakdown,8398970970,vvsrikar91@gmail.com,"7th main, Byrasandra, Kaggadasapura, Bengaluru, Karnataka 560016",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,12.9838096,77.666664
1015,Spoorthi Towing services,8660253175,vvsrikar91@gmail.com,"31, Veerabramhendra Mata 2nd Main Rd, Laggere, Annapoorneshwari Nagar, Hegganahalli, Bengaluru, Karnataka 560091",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,13.0000719,77.5172996
1016,Speed Lines Towing Service,7353711777,vvsrikar91@gmail.com,"31, 32/18, 6th Main Rd, BHEL Layout, Jai Maruthi Nagar, Nandini Layout, Bengaluru, Karnataka 560096",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,13.010165,77.533077
1017,Towingwala. Business. site,9606156697,vvsrikar91@gmail.com,"7th Main Rd, Kamadhenu Nagar, B Narayanapura, Mahadevapura, Bengaluru, Karnataka 560016",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,12.997565,77.685317
1018,VK Towing Services,9980866707,vvsrikar91@gmail.com,"No. 90, 9th Cross Rd, Vinayaka Nagar, MICO, Adugodi, Bengaluru, Karnataka 560030",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,12.9484107,77.5955683
1019,Raghu towing services,9945446037,vvsrikar91@gmail.com,"Sector 3, HSR Layout, Bengaluru, Karnataka 560068",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,12.9121181,77.6445548
1020,Sri Vinayaka Car Towing,9686111199,vvsrikar91@gmail.com,"129, 3 Cross , Outer Ring Road,, Kariyammana Agrahara, Near pratham Moters, Bellandur, Karnataka 560103",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,12.9278247,77.6796778
1021,Sri Jai Bhuvaneshwari Car Towing services,8884544881,vvsrikar91@gmail.com,"148 16th Cross, 2nd Main, opp. Dynamatic, Chokkasandra, T. Dasarahalli, Bengaluru, Karnataka 560057",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,13.0462109,77.512965
1022,RESCUE Roadside Assistance,9986500500,vvsrikar91@gmail.com,"105, Raheja Plaza, Richmond Rd, Ashok Nagar, Bengaluru, Karnataka 560025",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,12.9676733,77.6112868
1023,Car towing Wala Service,8088775688,vvsrikar91@gmail.com,"1st floor, 279, 5th Main Rd, near Ganesha Temple, AECS B Block, Wellington Paradise, Singasandra, Bengaluru, Karnataka 560114",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,12.8812915,77.6403707
1024,Towing on Wheels.Com,8123423648,vvsrikar91@gmail.com,"XMVJ+284, Anugraha Layout, Anjappa Layout, B Narayanapura, Mahadevapura, Bengaluru, Karnataka 560016",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,12.9925237,77.6808128
1025,S.V.N Towing Service,8618011495,vvsrikar91@gmail.com,"206, 2nd Cross Rd, Chowdeshwari Nagar, Muniswara Nagar, Laggere, Bengaluru, Karnataka 560058",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,12.9983294,77.5235521
1026,Quick and safe Towing,9844211967,vvsrikar91@gmail.com,"#44, 3rd Cross Street, Govindaraja Nagar Ward, Amarajyothi Nagar, Vijayanagar, Bengaluru, Karnataka 560072",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,12.9760741,77.5239131
1027,Shivaraj Towing Service,8496801218,vvsrikar91@gmail.com,"No.58, 16th cross, 2nd main, Doddapatelappa Building, opp. Dynamatic, Chokkasandra, T. Dasarahalli, Bengaluru, Karnataka 560057",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,13.0406486,77.5155149
1028,Vigneshwara Car Tow Service,9535935989,vvsrikar91@gmail.com,"Begur Rd, Classic Paradise Layout, Devarachikkana Halli, Bengaluru, Karnataka 560068",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,12.878809,77.6245478
1029,S R Towing Service,9900875529,vvsrikar91@gmail.com,"383, 2nd cross, suggappa layout, near register office laggere, peenya small industries post, north, Bengaluru, Karnataka 560009",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,13.0170802,77.5123915
1030,LV Towing Service,9900875529,vvsrikar91@gmail.com,"42 SFHS, Post, Nandini Layout, Bengaluru, Karnataka 560096",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,13.015811,77.5390237
1031,GaadiAssist 24/7Breakdown & Bike and Car Repairs,7338000333,vvsrikar91@gmail.com,"31/2, ground floor, 3rd Main Rd, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru, Karnataka 560034",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,12.9238639,77.6357701
1032,GoMechanic,8398970970,vvsrikar91@gmail.com,"Popular Colony, Mangammanapalya, Bengaluru, Karnataka 560068",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,12.9015486,77.6387477
1033,ReadyAssist,8197852852,vvsrikar91@gmail.com,"839/2, 24th Main Rd, behind Thirumala Theatre, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,12.9203483,77.6501873
1034,Car towing services,9620440007,vvsrikar91@gmail.com,"Tatanagar, Hebbal, Bengaluru, Karnataka 560092",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,13.0560286,77.5739635
1035,Car Breakdown Service,6363461441,vvsrikar91@gmail.com,"Ground Floor, No 11, Bhovi Hatti, Kadubeesanahalli Upas, Kadubeesanahalli, Panathur, Bengaluru, Karnataka 560103",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,12.9396395,77.6958225
1036,SMS Roadside Assistance 24/7 Car,9901808939,vvsrikar91@gmail.com,"128, 13th Main, 3rd Cross Rd, HAL 3rd Stage, Kodihalli, Indiranagar, Bengaluru, Karnataka 560008",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,12.9675769,77.6496765
1037,RAPID - Roadside Assistance 24/7,8152061590,vvsrikar91@gmail.com,"Subramani Nagar, Hebbal, Bengaluru, Karnataka 560024",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,13.04177591,77.5937925
1038,Zoom motors,9886198517,vvsrikar91@gmail.com,"16, Cholanayakana Halli Main Road, Hebbal, Bengaluru 560032, Karnataka",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,13.03488636,77.6042404
1039,"Sri Manjunatha Battery Works EXIDE, AMARON",99007 07990,vvsrikar91@gmail.com,"main road, opposite to SBI BANK, Ashwath Nagar, Sanjayanagara, Bengaluru, Karnataka 560094",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,13.02050169,77.5456591
1040,S M Battery Point,98451 22242,vvsrikar91@gmail.com,"11, MS Ramaiah Rd, next to Karnataka Bank, Gokula 1st Stage, Mathikere Extension, Mathikere, Bengaluru, Karnataka 560054",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,13.0323293,77.4890218
1041,Manjusree Battery,94485 50399,vvsrikar91@gmail.com,"Bus Stop, 71, Sanjay Nagar Main Rd, near Ashwanth nagar, RMV 2nd Stage, Ashwath Nagar, Sanjayanagara, Bengaluru, Karnataka 560094",Bangalore,Karnataka,560024,India,20-07-2023,1,1,abc,f,100,xyz,13.0266823,77.5100278
