AccountName,RateItems,CreateDate,COMPANYID,BUDGET ELECTRIC 2W,PREMIUM SCOOTER,PREMIUM BIKE,BUDGET SCOOTER,PREMIUM ELECTRIC 2W,BELOW 150CC BIKE,151CC TO 350 CC BIKE,351CC TO 500 CC BIKE,SIMPLY PREMIUM,LUXURY,ELECTRIC PREMIUM,HATCHBACK,ELECTRIC BUDGET,PREMIUM SUV,SUV,SEDAN
A2Z ASSIST,BATTERY JUMPSTART ,,,500,500,500,500,500,500,500,500,600,600,600,500,600,600,600,600
A2Z ASSIST,AirFill,,,500,500,500,500,500,500,500,500,600,600,600,500,600,600,600,600
A2Z ASSIST,Puncture,,,500,500,500,500,500,500,500,500,600,600,600,500,600,600,600,600
A2Z ASSIST,AIR FILL,,,500,500,500,500,500,500,500,500,600,600,600,500,600,600,600,600
A2Z ASSIST,BATTERY REPLACEMENT,,,500,500,500,500,500,500,500,500,600,600,600,500,600,600,600,600
A2Z ASSIST,CABLE CUT,,,500,500,500,500,500,500,500,500,600,600,600,500,600,600,600,600
A2Z ASSIST,CHAIN ISSUE,,,500,500,500,500,500,500,500,500,600,600,600,500,600,600,600,600
A2Z ASSIST,CLUTCH ISSUE,,,500,500,500,500,500,500,500,500,600,600,600,500,600,600,600,600
A2Z ASSIST,CUSTODY SERVICE,,,500,500,500,500,500,500,500,500,600,600,600,500,600,600,600,600
A2Z ASSIST,FUEL DELIVERY (DIESEL),,,500,500,500,500,500,500,500,500,600,600,600,500,600,600,600,600
A2Z ASSIST,FUEL DELIVERY (PETROL),,,500,500,500,500,500,500,500,500,600,600,600,500,600,600,600,600
A2Z ASSIST,KEY LOCKOUT,,,500,500,500,500,500,500,500,500,600,600,600,500,600,600,600,600
A2Z ASSIST,OTHER REPAIRS,,,500,500,500,500,500,500,500,500,600,600,600,500,600,600,600,600
A2Z ASSIST,PUNCTURE-TUBE TYRE,,,500,500,500,500,500,500,500,500,600,600,600,500,600,600,600,600
A2Z ASSIST,PUNCTURE-TUBELESS TYRE,,,500,500,500,500,500,500,500,500,600,600,600,500,600,600,600,600
A2Z ASSIST,STARTING TROUBLE,,,500,500,500,500,500,500,500,500,600,600,600,500,600,600,600,600
A2Z ASSIST,Towing,,,500,500,500,500,500,500,500,500,600,600,600,500,600,600,600,600
A2Z ASSIST,NEUTRAL MODE,,,500,500,500,500,500,500,500,500,600,600,600,500,600,600,600,600
A2Z ASSIST,STEPNEY CHANGE,,,500,500,500,500,500,500,500,500,600,600,600,500,600,600,600,600
